,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.038608455657958986,0.009585382781115308,0.016003513336181642,0.002530694313238874,1,0,rbf,"{'C': 1, 'epsilon': 0, 'kernel': 'rbf'}",-0.5665572664768286,-0.4113364257355769,-0.40653546890660786,-0.35072455868963076,-0.32350926751146586,-0.411732597464022,0.08426527395697593,3
1,0.3958887100219727,0.057616374749498524,0.005801200866699219,0.0004001856524922232,1,0,linear,"{'C': 1, 'epsilon': 0, 'kernel': 'linear'}",-1.7254615017055994,-1.5755046933621313,-1.589165362598387,-0.7049750569818507,-1.304188244415479,-1.3798589718126895,0.3640664444122634,14
2,0.031808090209960935,0.009065381891641435,0.010601329803466796,0.002418044987711151,1,0.1,rbf,"{'C': 1, 'epsilon': 0.1, 'kernel': 'rbf'}",-0.5663592995293031,-0.394113851005979,-0.3871311628973743,-0.36208825577600195,-0.3276690764253806,-0.40747232912680775,0.08278351840867926,2
3,0.19404373168945313,0.02543750128982696,0.005800962448120117,0.000979910314467609,1,0.1,linear,"{'C': 1, 'epsilon': 0.1, 'kernel': 'linear'}",-1.5865078487525077,-1.4849509173510365,-1.2545138811654812,-0.6315042582614127,-1.2132598546961453,-1.2341473520453168,0.3319910027543362,11
4,0.02960805892944336,0.0033229196555547495,0.007201194763183594,0.0011667928255890741,1,0.2,rbf,"{'C': 1, 'epsilon': 0.2, 'kernel': 'rbf'}",-0.5535771083703724,-0.35206059506658355,-0.3792875434120802,-0.3519798973406177,-0.3298883530298256,-0.3933586994438959,0.08162617172645928,1
5,0.05141153335571289,0.010014243809653597,0.002400636672973633,0.0004900766589971732,1,0.2,linear,"{'C': 1, 'epsilon': 0.2, 'kernel': 'linear'}",-1.1558663893596877,-1.3774918023440639,-0.9703576720902662,-0.5113356175230969,-0.9589944457765014,-0.9948091854187231,0.2856615729045568,10
6,0.03000669479370117,0.010298047204559568,0.010802316665649413,0.0033711069262051686,10,0,rbf,"{'C': 10, 'epsilon': 0, 'kernel': 'rbf'}",-0.574539184721941,-0.6824375774754442,-0.5791710290027334,-0.29244442246567265,-0.3793085025400581,-0.5015801432411698,0.14334635163051082,8
7,1.0522369384765624,0.2900504903014515,0.003800630569458008,0.0009799585417949526,10,0,linear,"{'C': 10, 'epsilon': 0, 'kernel': 'linear'}",-2.073485396249611,-2.0213050665181322,-2.150462026740405,-0.8778617088369151,-2.4154085909370435,-1.9077045578564213,0.5324770848644005,16
8,0.028005361557006836,0.001674224765320609,0.008202219009399414,0.0009798807132913962,10,0.1,rbf,"{'C': 10, 'epsilon': 0.1, 'kernel': 'rbf'}",-0.5549323713831201,-0.6663058110526189,-0.5128101926300234,-0.30134568331143774,-0.34619432117336574,-0.4763176759101132,0.13502203617016736,5
9,0.678553295135498,0.3341878606533497,0.004201030731201172,0.0009799390469638755,10,0.1,linear,"{'C': 10, 'epsilon': 0.1, 'kernel': 'linear'}",-2.0412614300825944,-1.9040435825483397,-1.8062588158798942,-0.7245623785748048,-2.1563198915102544,-1.7264892197191775,0.5148945690267658,15
10,0.02180490493774414,0.0027863179435519145,0.0068015575408935545,0.00039992345250715414,10,0.2,rbf,"{'C': 10, 'epsilon': 0.2, 'kernel': 'rbf'}",-0.5476698443614412,-0.6380418948176514,-0.46373512482284074,-0.3057160628139453,-0.35251730046135094,-0.4615360454554459,0.12226457857744505,4
11,0.21744904518127442,0.07617677068658497,0.004401063919067383,0.0004901934829424045,10,0.2,linear,"{'C': 10, 'epsilon': 0.2, 'kernel': 'linear'}",-1.3887019007200376,-1.8356548304187854,-1.344992869928278,-0.5174079292485787,-1.511490967062348,-1.3196496994756055,0.4363637720506286,12
12,0.03380742073059082,0.0017207948945761585,0.011602497100830078,0.0013568949809808948,20,0,rbf,"{'C': 20, 'epsilon': 0, 'kernel': 'rbf'}",-0.5768849956076071,-0.7567047861128883,-0.6012194846733018,-0.29669441977902516,-0.4044488453672158,-0.5271905063080077,0.16051205423555623,9
13,1.4627309799194337,0.7093973049079344,0.0032009124755859376,0.00040023336460514366,20,0,linear,"{'C': 20, 'epsilon': 0, 'kernel': 'linear'}",-2.2550278584233037,-2.273834053679196,-2.3103629945573063,-0.8778617088365652,-3.0675615991214236,-2.1569296429235587,0.7088154956249535,18
14,0.02340536117553711,0.001356747342893119,0.008601903915405273,0.0004899792418945042,20,0.1,rbf,"{'C': 20, 'epsilon': 0.1, 'kernel': 'rbf'}",-0.5397496244833341,-0.7109700982226955,-0.5509152157752668,-0.2907410750847033,-0.37551693822281634,-0.49357859035776325,0.14680594811196357,7
15,0.9282098770141601,0.5150265257482471,0.0034006595611572265,0.0010197020601733307,20,0.1,linear,"{'C': 20, 'epsilon': 0.1, 'kernel': 'linear'}",-2.2846937511098524,-2.210757822282915,-2.1442564253152083,-0.7245623785744378,-2.768687742538673,-2.0265916239642174,0.6870757901673997,17
16,0.01780400276184082,0.0007484811820552063,0.0066014289855957035,0.0004897651438975314,20,0.2,rbf,"{'C': 20, 'epsilon': 0.2, 'kernel': 'rbf'}",-0.5462056864082625,-0.6466451536740273,-0.5296446747435268,-0.2954506989676292,-0.3811510179761294,-0.47981944635391505,0.125257971121056,6
