,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_learning_rate,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.5073644161224364,0.030181903084178893,0.2358414649963379,0.03212818913352222,10,10,0.001,Adam,"{'batch_size': 10, 'epochs': 10, 'learning_rate': 0.001, 'optimizer': 'Adam'}",-0.5790190296472599,-0.4110368011785574,-0.392421350004778,-0.4223856777408553,-0.312903716046339,-0.42355331492355786,0.08664888680054038,22
1,1.7531075477600098,0.20528133102622415,0.40327067375183107,0.20489853104004915,10,10,0.001,Adamax,"{'batch_size': 10, 'epochs': 10, 'learning_rate': 0.001, 'optimizer': 'Adamax'}",-0.4893587149518857,-0.28750733618930896,-0.3562356343130688,-0.41804366933310977,-0.3176921206460187,-0.3737674950866784,0.072407649443511,4
2,1.889431619644165,0.3216186729104073,0.5333930969238281,0.22377226978444933,10,10,0.001,Adadelta,"{'batch_size': 10, 'epochs': 10, 'learning_rate': 0.001, 'optimizer': 'Adadelta'}",-1.4303044856556961,-0.15359294122018197,-0.5242299548739736,-1.5180786254401286,-1.522891342793316,-1.0298194699966594,0.5771133008203256,66
3,2.150377035140991,0.15471580622422507,0.29055080413818357,0.11571334103588739,10,10,0.0001,Adam,"{'batch_size': 10, 'epochs': 10, 'learning_rate': 0.0001, 'optimizer': 'Adam'}",-0.5601028878898094,-0.36220241422240945,-0.3661587705824813,-0.4969202682613808,-0.37615312767454695,-0.43230749372612565,0.08117901449883042,26
4,2.1350746631622313,0.13910616342365836,0.34115962982177733,0.08114002643954582,10,10,0.0001,Adamax,"{'batch_size': 10, 'epochs': 10, 'learning_rate': 0.0001, 'optimizer': 'Adamax'}",-0.6598132397223645,-0.32490523096715884,-0.44966576998612695,-0.3564345036175934,-0.2945548084067497,-0.4170747105399986,0.1320361653370019,20
5,2.2453939437866213,0.1351936295741314,0.30295276641845703,0.07224243187889728,10,10,0.0001,Adadelta,"{'batch_size': 10, 'epochs': 10, 'learning_rate': 0.0001, 'optimizer': 'Adadelta'}",-1.0250525583586618,-0.2620059961764354,-0.7826788445910223,-1.6070717485576116,-1.632557704051896,-1.0618733703471255,0.5180762592533616,68
6,1.9562433242797852,0.2438002429606706,0.23954181671142577,0.1333065439290142,10,10,1e-05,Adam,"{'batch_size': 10, 'epochs': 10, 'learning_rate': 1e-05, 'optimizer': 'Adam'}",-0.5082854169480844,-0.4272803906648899,-0.36186004230156754,-0.4428249313629781,-0.31402998145188804,-0.4108561525458816,0.06717164015653772,18
7,1.4727584362030028,0.22030839535738253,0.1743302345275879,0.0209214949017827,10,10,1e-05,Adamax,"{'batch_size': 10, 'epochs': 10, 'learning_rate': 1e-05, 'optimizer': 'Adamax'}",-0.5475019713935607,-0.30790514429029286,-0.4208081166683839,-0.35164120874745036,-0.3370333553053731,-0.3929779592810122,0.08570658958175281,12
8,1.3398353576660156,0.09781068090064805,0.6748192310333252,0.21346447125765183,10,10,1e-05,Adadelta,"{'batch_size': 10, 'epochs': 10, 'learning_rate': 1e-05, 'optimizer': 'Adadelta'}",-0.45718945539856815,-2.3497455355701122,-2.5011275227033827,-0.4892421579006946,-0.41523950886349237,-1.2425088360872498,0.9673268180814313,72
9,4.660218858718872,0.7141508343493653,0.5672976970672607,0.22065692896966393,10,50,0.001,Adam,"{'batch_size': 10, 'epochs': 50, 'learning_rate': 0.001, 'optimizer': 'Adam'}",-0.6764041377039477,-0.45873760333528757,-0.5699469954643162,-0.3469034463937847,-0.4232550390240754,-0.4950494443842823,0.11568871259448767,49
10,5.715302324295044,0.41807999926217343,0.4141725540161133,0.09444485833084952,10,50,0.001,Adamax,"{'batch_size': 10, 'epochs': 50, 'learning_rate': 0.001, 'optimizer': 'Adamax'}",-0.5502710804255415,-0.5329603461429104,-0.4923002283494859,-0.34307860999797307,-0.26945400543865033,-0.4376128540709122,0.11134437641034724,28
11,5.79011549949646,0.5208735413542998,0.32695703506469725,0.05286537991379975,10,50,0.001,Adadelta,"{'batch_size': 10, 'epochs': 50, 'learning_rate': 0.001, 'optimizer': 'Adadelta'}",-0.591002004993428,-0.3125996827623717,-0.36885968290123944,-0.2797456546090536,-1.4550755268007622,-0.601456510413371,0.4404116591584302,59
12,5.630986833572388,0.6363014896191694,0.24834365844726564,0.07186844724102319,10,50,0.0001,Adam,"{'batch_size': 10, 'epochs': 50, 'learning_rate': 0.0001, 'optimizer': 'Adam'}",-0.5787246856429282,-0.6438833079313158,-0.500720897362162,-0.359782893386119,-0.34344439728906984,-0.485311236322319,0.11831500070515127,46
13,6.59815673828125,0.605955797052739,0.41247243881225587,0.04564841213261281,10,50,0.0001,Adamax,"{'batch_size': 10, 'epochs': 50, 'learning_rate': 0.0001, 'optimizer': 'Adamax'}",-0.5596706312806481,-0.6042993669014582,-0.499636132632203,-0.36241754435829626,-0.335268311018294,-0.4722583972381799,0.10644862930928814,40
14,6.853901481628418,0.47443901143750766,0.7186260223388672,0.19584713108692692,10,50,0.0001,Adadelta,"{'batch_size': 10, 'epochs': 50, 'learning_rate': 0.0001, 'optimizer': 'Adadelta'}",-2.3680102731025254,-0.4186056705585731,-0.4288704610522686,-0.38162653426823073,-0.5848765010998735,-0.8363978880162943,0.7689662451774979,61
